char,charLabel,father,fatherLabel,mother,motherLabel,spouse,spouseLabel
http://www.wikidata.org/entity/Q983067,Yudhiṣṭhira,http://www.wikidata.org/entity/Q857071,Pāṇḍu,http://www.wikidata.org/entity/Q844424,Kuntī,http://www.wikidata.org/entity/Q1057886,Draupadī
http://www.wikidata.org/entity/Q983067,Yudhiṣṭhira,http://www.wikidata.org/entity/Q857071,Pāṇḍu,http://www.wikidata.org/entity/Q844424,Kuntī,http://www.wikidata.org/entity/Q65050457,Devika
http://www.wikidata.org/entity/Q1057886,Draupadī,http://www.wikidata.org/entity/Q2389430,Drupada,,,http://www.wikidata.org/entity/Q185790,Arjuna
http://www.wikidata.org/entity/Q1057886,Draupadī,http://www.wikidata.org/entity/Q2389430,Drupada,,,http://www.wikidata.org/entity/Q983067,Yudhiṣṭhira
http://www.wikidata.org/entity/Q1057886,Draupadī,http://www.wikidata.org/entity/Q2389430,Drupada,,,http://www.wikidata.org/entity/Q1978476,Nakula
http://www.wikidata.org/entity/Q1057886,Draupadī,http://www.wikidata.org/entity/Q2389430,Drupada,,,http://www.wikidata.org/entity/Q2044641,Sahadeva
http://www.wikidata.org/entity/Q1057886,Draupadī,http://www.wikidata.org/entity/Q2389430,Drupada,,,http://www.wikidata.org/entity/Q3651886,Bhīma
http://www.wikidata.org/entity/Q1061606,Balarama,,,http://www.wikidata.org/entity/Q379581,Devakī,http://www.wikidata.org/entity/Q3523954,Revatī
http://www.wikidata.org/entity/Q1114098,Bhagadatta,,,,,,
http://www.wikidata.org/entity/Q1280951,Savitri and Satyavan,,,,,,
http://www.wikidata.org/entity/Q1377025,Bharata,http://www.wikidata.org/entity/Q384956,Duṣyanta,http://www.wikidata.org/entity/Q955123,Śakuntalā,http://www.wikidata.org/entity/Q12477754,Bhumanyu
http://www.wikidata.org/entity/Q1405629,Bhīṣma,http://www.wikidata.org/entity/Q1973947,Śāntanu,http://www.wikidata.org/entity/Q580113,Gangā,,
http://www.wikidata.org/entity/Q1405823,Duryodhana,http://www.wikidata.org/entity/Q926150,Dhṛtarāṣṭra,http://www.wikidata.org/entity/Q1849082,Gāndhārī,http://www.wikidata.org/entity/Q12474547,Wives of Duryodhana
http://www.wikidata.org/entity/Q1518806,Manasā,,,,,http://www.wikidata.org/entity/Q19832698,Jaratkaru
http://www.wikidata.org/entity/Q1580107,Kali,,,,,http://www.wikidata.org/entity/Q3351524,Alakshmi
http://www.wikidata.org/entity/Q1580107,Kali,,,,,http://www.wikidata.org/entity/Q38793456,Durukti
http://www.wikidata.org/entity/Q1648561,Kaurava,,,,,,
http://www.wikidata.org/entity/Q1656495,Ila,http://www.wikidata.org/entity/Q289162,Brahmā,,,http://www.wikidata.org/entity/Q851426,Budha
http://www.wikidata.org/entity/Q1656495,Ila,http://www.wikidata.org/entity/Q2563319,Vaivasvata Manu,,,http://www.wikidata.org/entity/Q851426,Budha
http://www.wikidata.org/entity/Q1770690,Mādrī,,,,,http://www.wikidata.org/entity/Q857071,Pāṇḍu
http://www.wikidata.org/entity/Q1849082,Gāndhārī,,,,,http://www.wikidata.org/entity/Q926150,Dhṛtarāṣṭra
http://www.wikidata.org/entity/Q1973947,Śāntanu,,,,,http://www.wikidata.org/entity/Q580113,Gangā
http://www.wikidata.org/entity/Q1973947,Śāntanu,,,,,http://www.wikidata.org/entity/Q2044655,Satyavatī
http://www.wikidata.org/entity/Q1976196,Ghaṭotkaca,http://www.wikidata.org/entity/Q3651886,Bhīma,http://www.wikidata.org/entity/Q2472701,Hiḍimbī,http://www.wikidata.org/entity/Q2723053,Ahilawati
http://www.wikidata.org/entity/Q1978476,Nakula,http://www.wikidata.org/entity/Q857071,Pāṇḍu,http://www.wikidata.org/entity/Q1770690,Mādrī,http://www.wikidata.org/entity/Q1057886,Draupadī
http://www.wikidata.org/entity/Q1978476,Nakula,http://www.wikidata.org/entity/Q857071,Pāṇḍu,http://www.wikidata.org/entity/Q1770690,Mādrī,http://www.wikidata.org/entity/Q65050443,Karenumati
http://www.wikidata.org/entity/Q1982348,Subhadrā,http://www.wikidata.org/entity/Q890382,Vasudeva,http://www.wikidata.org/entity/Q379581,Devakī,http://www.wikidata.org/entity/Q185790,Arjuna
http://www.wikidata.org/entity/Q1987279,Vichitravirya,http://www.wikidata.org/entity/Q19794180,Pradu,http://www.wikidata.org/entity/Q2044655,Satyavatī,http://www.wikidata.org/entity/Q1994807,Ambalika
http://www.wikidata.org/entity/Q1987279,Vichitravirya,http://www.wikidata.org/entity/Q19794180,Pradu,http://www.wikidata.org/entity/Q2044655,Satyavatī,http://www.wikidata.org/entity/Q2044636,Ambika
http://www.wikidata.org/entity/Q1987473,Ekalavya,,,,,,
http://www.wikidata.org/entity/Q1992668,Śakuni,,,,,,
http://www.wikidata.org/entity/Q1994800,Chitrāngada,http://www.wikidata.org/entity/Q1973947,Śāntanu,http://www.wikidata.org/entity/Q2044655,Satyavatī,,
http://www.wikidata.org/entity/Q1994807,Ambalika,,,,,http://www.wikidata.org/entity/Q1987279,Vichitravirya
http://www.wikidata.org/entity/Q2000962,Rohini Devi,,,,,http://www.wikidata.org/entity/Q890382,Vasudeva
http://www.wikidata.org/entity/Q2002511,Vidura,,,,,,
http://www.wikidata.org/entity/Q2019782,Avanti,,,,,,
http://www.wikidata.org/entity/Q2044550,Aśvatthāmā,http://www.wikidata.org/entity/Q890529,Droṇa,,,,
http://www.wikidata.org/entity/Q2044636,Ambika,,,,,http://www.wikidata.org/entity/Q1987279,Vichitravirya
http://www.wikidata.org/entity/Q2044641,Sahadeva,http://www.wikidata.org/entity/Q857071,Pāṇḍu,http://www.wikidata.org/entity/Q1770690,Mādrī,http://www.wikidata.org/entity/Q1057886,Draupadī
http://www.wikidata.org/entity/Q2044641,Sahadeva,http://www.wikidata.org/entity/Q2723062,Jarāsandha,http://www.wikidata.org/entity/Q1770690,Mādrī,http://www.wikidata.org/entity/Q1057886,Draupadī
http://www.wikidata.org/entity/Q2044641,Sahadeva,http://www.wikidata.org/entity/Q857071,Pāṇḍu,http://www.wikidata.org/entity/Q116313886,Vaishnavivati,http://www.wikidata.org/entity/Q1057886,Draupadī
http://www.wikidata.org/entity/Q2044641,Sahadeva,http://www.wikidata.org/entity/Q2723062,Jarāsandha,http://www.wikidata.org/entity/Q116313886,Vaishnavivati,http://www.wikidata.org/entity/Q1057886,Draupadī
http://www.wikidata.org/entity/Q2044646,Duḥśāsana,http://www.wikidata.org/entity/Q926150,Dhṛtarāṣṭra,http://www.wikidata.org/entity/Q1849082,Gāndhārī,,
http://www.wikidata.org/entity/Q2044655,Satyavatī,,,,,http://www.wikidata.org/entity/Q1973947,Śāntanu
http://www.wikidata.org/entity/Q2044664,Irāvān,http://www.wikidata.org/entity/Q185790,Arjuna,http://www.wikidata.org/entity/Q2723089,Ulūpī,,
http://www.wikidata.org/entity/Q2044671,Kṛpa,,,,,,
http://www.wikidata.org/entity/Q2046277,Parīkṣit,http://www.wikidata.org/entity/Q320606,Abhimanyu,http://www.wikidata.org/entity/Q2389445,Uttarā,,
http://www.wikidata.org/entity/Q2073479,Śaunaka,,,,,,
http://www.wikidata.org/entity/Q2075682,Ugrasrava Sauti,,,,,,
http://www.wikidata.org/entity/Q2091602,Yayāti,http://www.wikidata.org/entity/Q2633157,Nahuṣa,http://www.wikidata.org/entity/Q16039150,Ashokasundari,http://www.wikidata.org/entity/Q3521317,Devayānī
http://www.wikidata.org/entity/Q2091602,Yayāti,http://www.wikidata.org/entity/Q2633157,Nahuṣa,http://www.wikidata.org/entity/Q16039150,Ashokasundari,http://www.wikidata.org/entity/Q7489930,Sharmishtha
http://www.wikidata.org/entity/Q2092267,Kamsa,http://www.wikidata.org/entity/Q2978451,Ugrasena,,,,
http://www.wikidata.org/entity/Q2357063,Śikhaṇḍī,http://www.wikidata.org/entity/Q2389430,Drupada,,,,
http://www.wikidata.org/entity/Q2357086,Dhṛṣṭadyumna,http://www.wikidata.org/entity/Q2389430,Drupada,,,,
http://www.wikidata.org/entity/Q2361344,Durvāsā,,,,,,
http://www.wikidata.org/entity/Q2367305,Chitrangada,,,,,http://www.wikidata.org/entity/Q185790,Arjuna
http://www.wikidata.org/entity/Q2381126,Śalya,,,,,,
http://www.wikidata.org/entity/Q2381146,Jayadratha,,,,,http://www.wikidata.org/entity/Q2723039,Duhsala
http://www.wikidata.org/entity/Q2381158,Sātyaki,,,,,,
http://www.wikidata.org/entity/Q2382488,Kīcaka,,,,,,
http://www.wikidata.org/entity/Q2389430,Drupada,,,,,,
http://www.wikidata.org/entity/Q2389445,Uttarā,http://www.wikidata.org/entity/Q2978459,Virāṭa,http://www.wikidata.org/entity/Q15290894,Sudeshna,http://www.wikidata.org/entity/Q320606,Abhimanyu
http://www.wikidata.org/entity/Q2389469,Sanjaya,,,,,,
http://www.wikidata.org/entity/Q2392426,Yuyutsu,http://www.wikidata.org/entity/Q926150,Dhṛtarāṣṭra,,,,
http://www.wikidata.org/entity/Q3519846,Dadhichi,,,,,,
http://www.wikidata.org/entity/Q3521317,Devayānī,http://www.wikidata.org/entity/Q572235,Shukra,http://www.wikidata.org/entity/Q18126249,Jayanti,http://www.wikidata.org/entity/Q2091602,Yayāti
http://www.wikidata.org/entity/Q3521321,Damayantī,,,,,http://www.wikidata.org/entity/Q2588460,Nala
http://www.wikidata.org/entity/Q3523954,Revatī,http://www.wikidata.org/entity/Q17006665,Kakudmi,,,http://www.wikidata.org/entity/Q1061606,Balarama
http://www.wikidata.org/entity/Q3536310,Kacha,http://www.wikidata.org/entity/Q916959,Brihaspati,http://www.wikidata.org/entity/Q2625996,Taraka,,
http://www.wikidata.org/entity/Q3542007,Tumburu,,,,,,
http://www.wikidata.org/entity/Q3595632,Āstīka,,,,,,
http://www.wikidata.org/entity/Q3631282,Mucukunda,http://www.wikidata.org/entity/Q2994352,Mandhatri,,,,
http://www.wikidata.org/entity/Q3634500,Khatushyam,,,,,,
http://www.wikidata.org/entity/Q3651886,Bhīma,http://www.wikidata.org/entity/Q857071,Pāṇḍu,http://www.wikidata.org/entity/Q844424,Kuntī,http://www.wikidata.org/entity/Q1057886,Draupadī
http://www.wikidata.org/entity/Q3651886,Bhīma,http://www.wikidata.org/entity/Q857071,Pāṇḍu,http://www.wikidata.org/entity/Q844424,Kuntī,http://www.wikidata.org/entity/Q2472701,Hiḍimbī
http://www.wikidata.org/entity/Q4180707,Gandiva,,,,,,
http://www.wikidata.org/entity/Q4209828,Uttara,http://www.wikidata.org/entity/Q2978459,Virāṭa,http://www.wikidata.org/entity/Q15290894,Sudeshna,,
http://www.wikidata.org/entity/Q4210132,Kunti-Bhoja,,,,,,
http://www.wikidata.org/entity/Q4211174,Shurasena,http://www.wikidata.org/entity/Q114703819,Devamida,,,,
http://www.wikidata.org/entity/Q4248950,Kuru,,,http://www.wikidata.org/entity/Q4451421,Tapati,,
http://www.wikidata.org/entity/Q4250498,Khandava Forest,,,,,,
http://www.wikidata.org/entity/Q4259965,Devapi,,,,,,
http://www.wikidata.org/entity/Q4263257,Radha,,,,,,
http://www.wikidata.org/entity/Q4748784,Amshuman,http://www.wikidata.org/entity/Q4262997,Asamanja,,,,
http://www.wikidata.org/entity/Q4842924,Bahuka,,,,,,
http://www.wikidata.org/entity/Q4967948,Brihannala,,,,,,
http://www.wikidata.org/entity/Q5102328,Chitralekha,,,,,,
http://www.wikidata.org/entity/Q5102358,Chitrasena,,,,,,
http://www.wikidata.org/entity/Q5221128,Dantavakra,,,,,,
http://www.wikidata.org/entity/Q5305941,Draupati Amman,,,,,,
http://www.wikidata.org/entity/Q6026868,Indradyumna,http://www.wikidata.org/entity/Q1377025,Bharata,,,,
http://www.wikidata.org/entity/Q6410536,Kindama,,,,,,
http://www.wikidata.org/entity/Q6411966,Puru,http://www.wikidata.org/entity/Q2091602,Yayāti,http://www.wikidata.org/entity/Q7489930,Sharmishtha,,
http://www.wikidata.org/entity/Q6505158,Laxman Kumara,http://www.wikidata.org/entity/Q1405823,Duryodhana,,,,
http://www.wikidata.org/entity/Q7238402,Prapaksha Kamboja,,,,,,
http://www.wikidata.org/entity/Q7261362,Purochana,,,,,,
http://www.wikidata.org/entity/Q7410313,Samsaptakas,,,,,,
http://www.wikidata.org/entity/Q7489930,Sharmishtha,http://www.wikidata.org/entity/Q7943139,Vrishparva,,,http://www.wikidata.org/entity/Q2091602,Yayāti
http://www.wikidata.org/entity/Q7633279,Sudakshina,,,,,,
http://www.wikidata.org/entity/Q7880794,Uluka,,,,,,
http://www.wikidata.org/entity/Q7898172,Draupadeyas,,,,,,
http://www.wikidata.org/entity/Q7903312,Uttamabhadras,,,,,,
http://www.wikidata.org/entity/Q7908938,Vajra,,,,,,
http://www.wikidata.org/entity/Q7929388,Vikarna,http://www.wikidata.org/entity/Q926150,Dhṛtarāṣṭra,http://www.wikidata.org/entity/Q1849082,Gāndhārī,http://www.wikidata.org/entity/Q117422847,Sudeshnavati
http://www.wikidata.org/entity/Q7943139,Vrishparva,,,,,,
http://www.wikidata.org/entity/Q10337003,Niramitra,http://www.wikidata.org/entity/Q1978476,Nakula,,,,
http://www.wikidata.org/entity/Q10575465,Maitreya,,,,,,
